road,id,model_type,condition,name,lat,lon,length
N1,200000.0,sourcesink,,ss,23.7060278,90.443333,0.0
N1,200001.0,link,,link 1,23.592875727776523,90.60132335027487,1800.0
N1,200002.0,bridge,A,bridge 1,23.479723655553048,90.75931370054975,7.325
N1,200003.0,link,,link 2,23.592903477776524,90.64042040027488,6963.0
N1,100000.0,intersection,,N1toN2,23.7060833,90.5215271,0.0
N1,200005.0,link,,link 3,23.70557159628375,90.52237062317565,213.0
N1,200006.0,bridge,C,bridge 2,23.7050598925675,90.5232141463513,395.615
N1,200007.0,link,,link 4,23.7007299897392,90.529156563228,1567.0
N1,200008.0,bridge,B,bridge 3,23.6964000869109,90.5350989801047,8.0
N1,200009.0,link,,link 5,22.785687893585916,91.10752871355041,337.0
N1,200010.0,bridge,A,bridge 4,21.874975700260933,91.67995844699611,2.9
N1,200011.0,link,,link 6,22.784639043588367,91.10883290947936,17.0
N1,200012.0,bridge,A,bridge 5,23.6943023869158,90.5377073719626,6.3
N1,200013.0,link,,link 7,23.693331269392452,90.5393128808411,399.0
N1,200014.0,bridge,A,bridge 6,23.6923601518691,90.5409183897196,8.3
N1,200015.0,link,,link 8,23.6916360416921,90.54319044273855,512.0
N1,200016.0,bridge,B,bridge 7,23.6909119315151,90.5454624957575,10.6
N1,200017.0,link,,link 9,23.69066411575755,90.54602274787875,128.0
N1,100001.0,intersection,,N1toN105,23.6904163,90.546583,0.0
N1,200019.0,link,,link 10,23.6894143130102,90.54757076454081,303.0
N1,200020.0,bridge,A,bridge 8,23.6884123260204,90.5485585290816,9.3
N1,200021.0,link,,link 11,23.6883660295918,90.5486041683673,14.0
N1,200022.0,bridge,A,bridge 9,23.6883197331632,90.548649807653,6.1
N1,200023.0,link,,link 12,23.686896117821902,90.54996669322821,407.0
N1,200024.0,bridge,A,bridge 10,23.6854725024806,90.5512835788034,27.1
N1,200025.0,link,,link 13,23.6816380012403,90.55355150690166,914.0
N1,200026.0,bridge,A,bridge 11,23.6778035,90.5558194349999,11.9
N1,200027.0,link,,link 14,23.67055628480745,90.55983821489846,1891.0
N1,200028.0,bridge,B,bridge 12,23.6633090696149,90.563856994797,5.55
N1,200029.0,link,,link 15,23.65886738736425,90.5702936098985,1669.0
N1,200030.0,bridge,C,bridge 13,23.6544257051136,90.576730225,159.51
N1,200031.0,link,,link 16,23.6537987002854,90.57775098494837,88.0
N1,200032.0,bridge,B,bridge 14,23.6531716954572,90.57877174489673,20.308333333333334
N1,200033.0,link,,link 17,23.651463047406,90.58166037672251,871.0
N1,200034.0,bridge,B,bridge 15,23.6497543993548,90.5845490085483,25.166666666666664
N1,200035.0,link,,link 18,23.647861497135,90.5868804949521,649.0
N1,200036.0,bridge,C,bridge 16,23.6459685949152,90.5892119813559,40.39833333333333
