ID,Total delay time1234567,Total passed traffic1234567,KPI1234567,Total delay time1234568,Total passed traffic1234568,KPI1234568,Total delay time1234569,Total passed traffic1234569,KPI1234569,Total delay time1234560,Total passed traffic1234560,KPI1234560,Total delay time1234561,Total passed traffic1234561,KPI1234561,Total delay time1234562,Total passed traffic1234562,KPI1234562,Total delay time1234563,Total passed traffic1234563,KPI1234563,Total delay time1234564,Total passed traffic1234564,KPI1234564,Total delay time1234565,Total passed traffic1234565,KPI1234565,Total delay time1234566,Total passed traffic1234566,KPI1234566,Total delay time2234567,Total passed traffic2234567,KPI2234567,Total delay time2234568,Total passed traffic2234568,KPI2234568,Total delay time2234569,Total passed traffic2234569,KPI2234569,Total delay time2234560,Total passed traffic2234560,KPI2234560,Total delay time2234561,Total passed traffic2234561,KPI2234561,Total delay time2234562,Total passed traffic2234562,KPI2234562,Total delay time2234563,Total passed traffic2234563,KPI2234563,Total delay time2234564,Total passed traffic2234564,KPI2234564,Total delay time2234565,Total passed traffic2234565,KPI2234565,Total delay time2234566,Total passed traffic2234566,KPI2234566,Total delay time3234567,Total passed traffic3234567,KPI3234567,Total delay time3234568,Total passed traffic3234568,KPI3234568,Total delay time3234569,Total passed traffic3234569,KPI3234569,Total delay time3234560,Total passed traffic3234560,KPI3234560,Total delay time3234561,Total passed traffic3234561,KPI3234561,Total delay time3234562,Total passed traffic3234562,KPI3234562,Total delay time3234563,Total passed traffic3234563,KPI3234563,Total delay time3234564,Total passed traffic3234564,KPI3234564,Total delay time3234565,Total passed traffic3234565,KPI3234565,Total delay time3234566,Total passed traffic3234566,KPI3234566,Total delay time4234567,Total passed traffic4234567,KPI4234567,Total delay time4234568,Total passed traffic4234568,KPI4234568,Total delay time4234569,Total passed traffic4234569,KPI4234569,Total delay time4234560,Total passed traffic4234560,KPI4234560,Total delay time4234561,Total passed traffic4234561,KPI4234561,Total delay time4234562,Total passed traffic4234562,KPI4234562,Total delay time4234563,Total passed traffic4234563,KPI4234563,Total delay time4234564,Total passed traffic4234564,KPI4234564,Total delay time4234565,Total passed traffic4234565,KPI4234565,Total delay time4234566,Total passed traffic4234566,KPI4234566,Total delay time5234567,Total passed traffic5234567,KPI5234567,Total delay time5234568,Total passed traffic5234568,KPI5234568,Total delay time5234569,Total passed traffic5234569,KPI5234569,Total delay time5234560,Total passed traffic5234560,KPI5234560,Total delay time5234561,Total passed traffic5234561,KPI5234561,Total delay time5234562,Total passed traffic5234562,KPI5234562,Total delay time5234563,Total passed traffic5234563,KPI5234563,Total delay time5234564,Total passed traffic5234564,KPI5234564,Total delay time5234565,Total passed traffic5234565,KPI5234565,Total delay time5234566,Total passed traffic5234566,KPI5234566
200002,0,2788,0,0,2796,0,0,2707,0,91065,2809,32,0,2715,0,0,2734,0,0,2793,0,0,2717,0,0,2717,0,0,2711,0,0,2723,0,0,2658,0,0,2734,0,0,2697,0,0,2731,0,0,2714,0,0,2763,0,0,2754,0,0,2720,0,0,2753,0,0,2752,0,0,2720,0,0,2722,0,0,2743,0,0,2745,0,87835,2727,32,0,2703,0,0,2724,0,0,2652,0,0,2720,0,0,2805,0,86449,2669,32,0,2746,0,0,2731,0,0,2645,0,89338,2770,32,0,2782,0,0,2787,0,0,2728,0,0,2732,0,89652,2755,32,0,2689,0,0,2693,0,0,2723,0,0,2707,0,0,2730,0,0,2684,0,0,2803,0,0,2732,0,0,2727,0
200006,0,4576,0,0,4549,0,0,4551,0,0,4587,0,0,4546,0,0,4568,0,0,4576,0,0,4618,0,0,4553,0,0,4451,0,0,4552,0,0,4467,0,0,4504,0,0,4514,0,0,4487,0,0,4484,0,0,4480,0,0,4584,0,0,4563,0,0,4504,0,0,4501,0,0,4576,0,0,4490,0,0,4559,0,0,4638,0,0,4622,0,0,4472,0,0,4431,0,0,4457,0,0,4464,0,0,4525,0,0,4345,0,0,4465,0,0,4459,0,0,4467,0,0,4626,0,0,4603,0,0,4638,0,0,4558,0,0,4476,0,0,4527,0,0,4474,0,0,4433,0,0,4524,0,0,4527,0,0,4584,0,0,4433,0,0,4585,0,0,4478,0,0,4516,0
200008,0,4575,0,0,4549,0,0,4550,0,0,4587,0,0,4546,0,0,4569,0,0,4575,0,0,4617,0,0,4552,0,0,4451,0,0,4551,0,0,4466,0,0,4504,0,0,4513,0,0,4486,0,0,4483,0,0,4480,0,0,4583,0,0,4564,0,0,4503,0,0,4501,0,0,4575,0,0,4490,0,0,4559,0,0,4637,0,0,4623,0,0,4472,0,0,4430,0,0,4457,0,0,4464,0,0,4525,0,0,4345,0,0,4464,0,0,4458,0,0,4466,0,0,4625,0,0,4603,0,0,4637,0,0,4558,0,0,4476,0,0,4528,0,0,4473,0,0,4433,0,0,4523,0,0,4528,0,0,4583,0,0,4432,0,0,4584,0,0,4479,0,0,4516,0
200010,0,4575,0,0,4549,0,0,4551,0,0,4587,0,0,4546,0,0,4569,0,0,4575,0,0,4617,0,0,4552,0,0,4451,0,0,4551,0,0,4467,0,0,4504,0,0,4513,0,0,4486,0,0,4483,0,0,4480,0,0,4583,0,0,4564,0,0,4504,0,0,4501,0,0,4575,0,0,4490,0,0,4559,0,0,4637,0,0,4623,0,0,4472,0,0,4430,0,0,4457,0,0,4464,0,0,4525,0,0,4345,0,0,4465,0,0,4458,0,0,4466,0,0,4626,0,0,4603,0,0,4637,0,0,4558,0,0,4476,0,0,4528,0,0,4473,0,0,4433,0,0,4523,0,0,4528,0,0,4583,0,0,4432,0,0,4584,0,0,4479,0,0,4516,0
200012,0,4575,0,0,4549,0,0,4551,0,0,4587,0,0,4546,0,0,4569,0,0,4575,0,0,4617,0,0,4552,0,0,4451,0,0,4551,0,0,4467,0,0,4504,0,0,4513,0,0,4486,0,0,4483,0,0,4480,0,0,4583,0,0,4564,0,0,4504,0,0,4501,0,0,4575,0,0,4490,0,0,4559,0,0,4637,0,0,4623,0,0,4472,0,0,4430,0,0,4457,0,0,4464,0,0,4525,0,0,4345,0,0,4465,0,0,4458,0,0,4466,0,0,4626,0,0,4603,0,0,4637,0,0,4558,0,0,4476,0,0,4528,0,0,4473,0,0,4433,0,0,4523,0,0,4528,0,0,4583,0,0,4432,0,0,4584,0,0,4479,0,0,4516,0
200014,0,4574,0,0,4548,0,0,4550,0,0,4588,0,0,4545,0,0,4568,0,0,4574,0,0,4617,0,0,4551,0,0,4451,0,0,4550,0,0,4466,0,0,4503,0,0,4513,0,0,4485,0,0,4483,0,0,4479,0,0,4582,0,0,4564,0,0,4504,0,0,4500,0,0,4574,0,0,4489,0,0,4558,0,0,4636,0,0,4623,0,0,4471,0,0,4429,0,0,4456,0,0,4463,0,0,4524,0,0,4345,0,0,4464,0,0,4457,0,0,4465,0,0,4626,0,0,4602,0,0,4636,0,0,4558,0,0,4476,0,0,4529,0,0,4472,0,0,4432,0,0,4522,0,0,4527,0,0,4583,0,0,4431,0,0,4584,0,0,4478,0,0,4515,0
200016,0,4574,0,0,4548,0,0,4550,0,0,4588,0,0,4545,0,0,4568,0,0,4574,0,0,4617,0,0,4551,0,0,4451,0,0,4552,0,0,4466,0,0,4503,0,0,4513,0,0,4485,0,0,4483,0,0,4479,0,0,4582,0,0,4564,0,0,4504,0,0,4500,0,0,4574,0,0,4489,0,0,4558,0,0,4636,0,0,4621,0,0,4471,0,0,4429,0,0,4457,0,0,4463,0,0,4524,0,0,4345,0,0,4464,0,0,4457,0,0,4465,0,0,4626,0,0,4602,0,0,4636,0,0,4558,0,0,4476,0,0,4529,0,0,4472,0,0,4432,0,0,4522,0,0,4527,0,0,4583,0,0,4431,0,0,4584,0,0,4478,0,0,4515,0
200020,0,8518,0,0,8513,0,0,8383,0,0,8627,0,0,8457,0,0,8548,0,0,8525,0,0,8670,0,0,8496,0,0,8472,0,0,8609,0,0,8358,0,0,8312,0,0,8448,0,0,8350,0,0,8349,0,0,8298,0,0,8567,0,0,8560,0,0,8527,0,0,8397,0,0,8522,0,0,8360,0,0,8428,0,0,8676,0,0,8477,0,0,8359,0,0,8412,0,0,8324,0,0,8318,0,0,8374,0,0,8071,0,0,8478,0,0,8346,0,0,8389,0,0,8713,0,0,8572,0,0,8672,0,0,8542,0,0,8404,0,0,8549,0,0,8368,0,0,8479,0,0,8429,0,0,8460,0,0,8520,0,0,8426,0,0,8429,0,0,8411,0,0,8394,0
200022,0,8518,0,0,8513,0,0,8383,0,0,8627,0,0,8457,0,0,8548,0,0,8525,0,0,8670,0,0,8496,0,0,8472,0,0,8609,0,0,8358,0,0,8312,0,0,8448,0,0,8350,0,0,8349,0,0,8298,0,0,8567,0,0,8560,0,0,8527,0,0,8397,0,0,8522,0,0,8360,0,0,8428,0,0,8676,0,0,8477,0,0,8359,0,0,8412,0,0,8324,0,0,8318,0,0,8374,0,0,8071,0,0,8478,0,0,8346,0,0,8389,0,0,8713,0,0,8572,0,0,8672,0,0,8542,0,0,8404,0,0,8549,0,0,8368,0,0,8479,0,0,8429,0,0,8460,0,0,8520,0,0,8426,0,0,8429,0,0,8411,0,0,8394,0
200024,0,8520,0,0,8513,0,0,8384,0,0,8627,0,0,8458,0,0,8548,0,0,8525,0,0,8670,0,0,8496,0,0,8472,0,0,8611,0,0,8359,0,0,8312,0,0,8448,0,0,8352,0,0,8349,0,0,8298,0,0,8567,0,0,8560,0,0,8527,0,0,8397,0,0,8522,0,0,8361,0,0,8428,0,0,8677,0,0,8477,0,0,8359,0,0,8412,0,0,8324,0,0,8318,0,0,8374,0,0,8071,0,0,8479,0,0,8347,0,0,8389,0,0,8714,0,0,8572,0,0,8672,0,0,8543,0,0,8404,0,0,8550,0,0,8368,0,0,8480,0,0,8430,0,0,8460,0,0,8521,0,0,8427,0,0,8432,0,0,8412,0,0,8394,0
200026,0,8520,0,0,8515,0,0,8385,0,0,8628,0,0,8458,0,0,8548,0,0,8527,0,0,8674,0,0,8496,0,0,8473,0,0,8612,0,0,8360,0,0,8313,0,0,8448,0,0,8353,0,0,8350,0,0,8299,0,0,8567,0,0,8561,0,0,8527,0,0,8397,0,0,8524,0,0,8363,0,0,8428,0,0,8677,0,0,8477,0,0,8360,0,0,8412,0,0,8325,0,0,8318,0,0,8375,0,0,8072,0,0,8479,0,0,8347,0,0,8389,0,0,8714,0,0,8572,0,0,8674,0,0,8544,0,0,8404,0,0,8550,0,0,8369,0,0,8480,0,0,8430,0,0,8461,0,0,8521,0,0,8429,0,0,8432,0,0,8412,0,0,8394,0
200028,0,8519,0,0,8516,0,0,8388,0,0,8627,0,0,8457,0,0,8548,0,0,8525,0,0,8673,0,0,8495,0,0,8470,0,0,8612,0,0,8359,0,0,8310,0,0,8446,0,0,8353,0,0,8350,0,0,8299,0,0,8567,0,0,8559,0,0,8525,0,0,8397,0,0,8521,0,0,8361,0,0,8428,0,0,8675,0,0,8476,0,0,8361,0,0,8412,0,0,8325,0,0,8316,0,0,8374,0,0,8070,0,0,8477,0,0,8344,0,0,8389,0,0,8714,0,0,8570,0,0,8671,0,0,8544,0,0,8404,0,0,8552,0,0,8369,0,0,8479,0,0,8429,0,0,8458,0,0,8519,0,0,8429,0,0,8430,0,0,8413,0,0,8393,0
200030,0,8520,0,0,8518,0,0,8387,0,0,8626,0,0,8457,0,0,8549,0,0,8527,0,0,8676,0,0,8496,0,0,8472,0,0,8612,0,0,8358,0,0,8309,0,0,8446,0,0,8353,0,0,8350,0,0,8299,0,0,8567,0,0,8559,0,0,8525,0,0,8397,0,0,8520,0,0,8361,0,0,8429,0,0,8677,0,0,8477,0,0,8362,0,0,8413,0,0,8325,0,0,8317,0,0,8374,0,0,8071,0,0,8478,0,0,8345,0,0,8388,0,0,8713,0,0,8570,0,0,8672,0,0,8546,0,0,8407,0,0,8551,0,0,8369,0,0,8479,0,0,8429,0,0,8458,0,0,8519,0,0,8429,0,0,8430,0,0,8412,0,0,8395,0
200032,0,8520,0,0,8518,0,0,8388,0,0,8626,0,0,8457,0,0,8549,0,0,8527,0,0,8676,0,0,8496,0,0,8472,0,0,8612,0,0,8358,0,0,8309,0,0,8446,0,0,8353,0,0,8350,0,0,8299,0,0,8567,0,0,8559,0,0,8526,0,0,8397,0,0,8520,0,0,8361,0,0,8429,0,0,8677,0,0,8476,0,0,8362,0,0,8414,0,0,8325,0,0,8317,0,0,8374,0,0,8070,0,0,8478,0,0,8346,0,0,8388,0,0,8714,0,0,8570,0,0,8672,0,0,8546,0,0,8407,0,0,8551,0,0,8369,0,0,8481,0,0,8429,0,0,8461,0,0,8519,0,0,8431,0,0,8430,0,0,8413,0,0,8395,0
200034,0,8520,0,0,8518,0,0,8389,0,0,8626,0,0,8457,0,0,8551,0,0,8528,0,0,8676,0,0,8496,0,0,8472,0,0,8612,0,0,8358,0,0,8309,0,0,8446,0,0,8354,0,0,8351,0,0,8299,0,0,8567,0,0,8559,0,0,8526,0,0,8397,0,0,8521,0,0,8362,0,0,8430,0,0,8677,0,0,8476,0,0,8362,0,0,8415,0,0,8327,0,0,8318,0,0,8374,0,0,8069,0,0,8479,0,0,8346,0,0,8389,0,0,8716,0,0,8570,0,0,8673,0,0,8547,0,0,8408,0,0,8553,0,0,8369,0,0,8481,0,0,8429,0,0,8463,0,0,8520,0,0,8431,0,0,8433,0,0,8413,0,0,8395,0
