ID,Total delay time1234567,Total passed traffic1234567,KPI1234567,Total delay time1234568,Total passed traffic1234568,KPI1234568,Total delay time1234569,Total passed traffic1234569,KPI1234569,Total delay time1234560,Total passed traffic1234560,KPI1234560,Total delay time1234561,Total passed traffic1234561,KPI1234561,Total delay time1234562,Total passed traffic1234562,KPI1234562,Total delay time1234563,Total passed traffic1234563,KPI1234563,Total delay time1234564,Total passed traffic1234564,KPI1234564,Total delay time1234565,Total passed traffic1234565,KPI1234565,Total delay time1234566,Total passed traffic1234566,KPI1234566
200002,0,2815,0,0,2842,0,0,2775,0,0,2798,0,0,2790,0,0,2819,0,0,2843,0,0,2789,0,0,2821,0,0,2816,0
200006,0,4708,0,0,4724,0,0,4661,0,0,4742,0,0,4703,0,0,4714,0,0,4742,0,644018,4615,139,0,4613,0,0,4726,0
200008,0,4708,0,0,4724,0,0,4662,0,0,4741,0,0,4702,0,0,4714,0,0,4743,0,0,4565,0,0,4612,0,0,4726,0
200010,0,4708,0,0,4724,0,0,4662,0,0,4741,0,0,4703,0,0,4714,0,0,4743,0,0,4565,0,0,4612,0,0,4726,0
200012,0,4708,0,0,4724,0,0,4662,0,0,4741,0,0,4703,0,0,4715,0,0,4743,0,0,4565,0,0,4612,0,0,4726,0
200014,0,4707,0,0,4723,0,0,4661,0,0,4740,0,0,4702,0,0,4714,0,0,4742,0,0,4564,0,0,4612,0,0,4725,0
200016,0,4708,0,0,4723,0,0,4661,0,0,4740,0,0,4703,0,0,4714,0,0,4743,0,0,4564,0,0,4613,0,0,4725,0
200020,0,8738,0,0,8827,0,0,8743,0,0,8865,0,0,8867,0,0,8849,0,0,8823,0,0,8599,0,0,8721,0,0,8808,0
200022,0,8738,0,0,8827,0,0,8743,0,0,8865,0,0,8867,0,0,8849,0,0,8823,0,0,8599,0,0,8721,0,0,8808,0
200024,0,8738,0,0,8827,0,0,8743,0,0,8866,0,0,8868,0,0,8849,0,0,8823,0,0,8599,0,0,8722,0,0,8808,0
200026,0,8740,0,0,8827,0,0,8743,0,0,8866,0,0,8868,0,0,8850,0,0,8823,0,0,8599,0,0,8723,0,0,8808,0
200028,0,8738,0,0,8827,0,0,8745,0,0,8864,0,0,8867,0,0,8849,0,0,8821,0,0,8600,0,0,8723,0,0,8807,0
200030,0,8737,0,0,8827,0,0,8745,0,0,8865,0,0,8866,0,0,8849,0,0,8820,0,0,8600,0,0,8725,0,0,8807,0
200032,0,8737,0,0,8827,0,0,8745,0,0,8865,0,0,8866,0,0,8849,0,0,8820,0,0,8600,0,0,8725,0,0,8808,0
200034,0,8737,0,0,8827,0,0,8746,0,0,8865,0,0,8867,0,0,8850,0,0,8820,0,0,8601,0,0,8725,0,0,8810,0
200036,0,8736,0,0,8829,0,0,8745,0,0,8864,0,0,8868,0,0,8849,0,0,8820,0,0,8601,0,0,8726,0,0,8812,0
200038,0,8736,0,0,8826,0,0,8742,0,0,8862,0,0,8866,0,0,8847,0,0,8818,0,0,8601,0,0,8724,0,0,8810,0
200040,0,8737,0,0,8826,0,0,8744,0,0,8862,0,0,8868,0,0,8847,0,0,8818,0,0,8601,0,0,8724,0,0,8811,0
200042,0,8739,0,0,8827,0,0,8744,0,0,8864,0,0,8870,0,0,8847,0,0,8820,0,0,8601,0,0,8724,0,0,8812,0
200044,0,8738,0,0,8827,0,0,8743,0,0,8864,0,0,8870,0,0,8847,0,0,8819,0,0,8600,0,0,8723,0,0,8811,0
200046,0,8739,0,0,8827,0,0,8744,0,0,8865,0,0,8873,0,0,8848,0,0,8821,0,0,8600,0,0,8724,0,0,8811,0
200048,0,8738,0,0,8826,0,0,8743,0,0,8864,0,0,8872,0,0,8848,0,0,8821,0,0,8600,0,0,8723,0,0,8810,0
