ID,Total delay time1234567,Total passed traffic1234567,KPI1234567,Total delay time1234568,Total passed traffic1234568,KPI1234568,Total delay time1234569,Total passed traffic1234569,KPI1234569,Total delay time1234560,Total passed traffic1234560,KPI1234560,Total delay time1234561,Total passed traffic1234561,KPI1234561,Total delay time1234562,Total passed traffic1234562,KPI1234562,Total delay time1234563,Total passed traffic1234563,KPI1234563,Total delay time1234564,Total passed traffic1234564,KPI1234564,Total delay time1234565,Total passed traffic1234565,KPI1234565,Total delay time1234566,Total passed traffic1234566,KPI1234566,Total delay time2234567,Total passed traffic2234567,KPI2234567,Total delay time2234568,Total passed traffic2234568,KPI2234568,Total delay time2234569,Total passed traffic2234569,KPI2234569,Total delay time2234560,Total passed traffic2234560,KPI2234560,Total delay time2234561,Total passed traffic2234561,KPI2234561,Total delay time2234562,Total passed traffic2234562,KPI2234562,Total delay time2234563,Total passed traffic2234563,KPI2234563,Total delay time2234564,Total passed traffic2234564,KPI2234564,Total delay time2234565,Total passed traffic2234565,KPI2234565,Total delay time2234566,Total passed traffic2234566,KPI2234566
200002,0,2581,0,86319,2663,32,0,2536,0,84836,2621,32,0,2565,0,0,2567,0,0,2610,0,81768,2534,32,0,2582,0,0,2508,0,0,2616,0,0,2505,0,0,2567,0,0,2586,0,80850,2514,32,0,2586,0,0,2623,0,0,2587,0,0,2580,0,0,2665,0
200006,0,4197,0,0,4463,0,0,4130,0,0,4324,0,1592358,4333,367,0,4188,0,0,4192,0,1590134,4296,370,1594093,4323,368,1583631,4272,370,0,4379,0,0,4231,0,0,4220,0,0,4238,0,0,4125,0,0,4239,0,0,4322,0,0,4294,0,0,4256,0,0,4391,0
200008,0,4198,0,0,4462,0,0,4130,0,0,4327,0,0,4205,0,0,4188,0,0,4191,0,0,4181,0,0,4199,0,0,4155,0,0,4379,0,0,4231,0,0,4221,0,0,4239,0,162419,4130,39,0,4239,0,0,4322,0,0,4293,0,0,4257,0,174035,4407,39
200010,0,4198,0,0,4462,0,0,4130,0,0,4327,0,0,4205,0,0,4188,0,0,4191,0,0,4181,0,0,4199,0,0,4155,0,0,4379,0,0,4231,0,0,4221,0,0,4239,0,0,4115,0,0,4239,0,0,4322,0,0,4293,0,0,4257,0,0,4392,0
200012,0,4198,0,0,4462,0,0,4130,0,0,4327,0,0,4205,0,0,4188,0,0,4191,0,0,4181,0,0,4199,0,0,4155,0,0,4379,0,0,4231,0,0,4221,0,0,4239,0,0,4115,0,0,4239,0,0,4322,0,0,4293,0,0,4257,0,0,4392,0
200014,0,4197,0,0,4462,0,0,4129,0,0,4327,0,0,4205,0,0,4187,0,0,4191,0,0,4181,0,0,4200,0,0,4155,0,0,4378,0,0,4230,0,0,4220,0,0,4238,0,0,4115,0,0,4238,0,0,4321,0,0,4292,0,0,4257,0,0,4392,0
200016,417001,4230,98,0,4463,0,0,4129,0,428046,4363,98,0,4205,0,0,4188,0,418087,4221,99,0,4183,0,417105,4234,98,0,4155,0,0,4378,0,0,4230,0,0,4220,0,0,4238,0,0,4117,0,0,4238,0,0,4322,0,0,4292,0,426191,4291,99,0,4392,0
200020,0,7934,0,0,8218,0,0,7718,0,0,8182,0,0,7883,0,0,7831,0,0,7967,0,0,7946,0,0,8022,0,0,7823,0,0,8144,0,0,7819,0,0,7878,0,0,7989,0,0,7645,0,0,7915,0,0,7965,0,0,7942,0,0,8014,0,0,8152,0
200022,0,7934,0,0,8218,0,0,7718,0,0,8182,0,0,7883,0,0,7831,0,0,7967,0,0,7946,0,0,8022,0,0,7823,0,0,8144,0,0,7819,0,0,7878,0,0,7989,0,0,7645,0,0,7915,0,0,7965,0,0,7942,0,0,8014,0,0,8152,0
200024,0,7934,0,0,8218,0,0,7719,0,0,8182,0,0,7883,0,0,7831,0,0,7966,0,0,7946,0,0,8022,0,0,7824,0,0,8144,0,0,7820,0,0,7878,0,0,7990,0,0,7645,0,0,7915,0,0,7965,0,0,7942,0,0,8014,0,0,8153,0
200026,0,7936,0,0,8217,0,0,7719,0,0,8183,0,0,7884,0,0,7831,0,0,7965,0,0,7948,0,0,8022,0,0,7823,0,0,8145,0,0,7820,0,0,7878,0,0,7992,0,0,7645,0,0,7915,0,0,7966,0,0,7942,0,0,8016,0,0,8152,0
200028,0,7936,0,0,8221,0,0,7717,0,0,8183,0,0,7884,0,310841,7859,39,315206,7985,39,0,7948,0,0,8021,0,0,7821,0,0,8142,0,0,7818,0,0,7879,0,0,7993,0,0,7644,0,0,7916,0,0,7964,0,313269,7962,39,0,8016,0,0,8151,0
200030,0,7936,0,0,8221,0,0,7719,0,0,8185,0,1418986,8002,177,0,7833,0,0,7962,0,0,7948,0,0,8021,0,0,7822,0,1467857,8262,177,1410911,7928,177,1416527,7988,177,0,7993,0,0,7644,0,0,7918,0,0,7965,0,1438785,8066,178,0,8015,0,0,8153,0
200032,0,7936,0,0,8221,0,0,7719,0,0,8185,0,0,7892,0,0,7833,0,791359,8033,98,0,7949,0,0,8021,0,0,7823,0,0,8151,0,777265,7891,98,789267,7942,99,0,7993,0,0,7644,0,0,7918,0,0,7965,0,0,7938,0,0,8015,0,0,8153,0
200034,0,7938,0,0,8219,0,0,7719,0,0,8184,0,0,7893,0,0,7833,0,0,7966,0,0,7949,0,0,8021,0,0,7824,0,0,8150,0,0,7822,0,0,7876,0,0,7994,0,0,7647,0,0,7921,0,0,7965,0,786536,8001,98,0,8015,0,0,8152,0
200036,0,7938,0,0,8220,0,0,7718,0,0,8185,0,0,7893,0,0,7834,0,0,7967,0,791043,7999,98,0,8022,0,0,7824,0,0,8150,0,0,7822,0,0,7877,0,0,7994,0,759805,7705,98,0,7920,0,0,7964,0,0,7941,0,0,8016,0,0,8152,0
200038,0,7938,0,0,8219,0,0,7716,0,0,8184,0,0,7894,0,0,7835,0,0,7968,0,0,7931,0,0,8021,0,0,7822,0,0,8151,0,0,7820,0,0,7876,0,0,7992,0,0,7650,0,0,7918,0,0,7963,0,0,7940,0,0,8014,0,0,8152,0
200040,0,7939,0,0,8220,0,0,7716,0,0,8185,0,0,7893,0,0,7837,0,0,7969,0,0,7931,0,0,8022,0,470138,7861,59,492551,8202,60,0,7820,0,0,7876,0,0,7992,0,0,7649,0,0,7918,0,475320,7993,59,0,7940,0,0,8013,0,0,8152,0
200042,0,7940,0,0,8220,0,841049,7775,108,0,8186,0,860405,7955,108,0,7835,0,0,7970,0,0,7931,0,0,8022,0,0,7825,0,0,8163,0,0,7822,0,0,7877,0,0,7993,0,0,7650,0,0,7921,0,0,7966,0,0,7939,0,0,8013,0,0,8152,0
200044,0,7940,0,0,8220,0,0,7706,0,0,8186,0,0,7906,0,0,7835,0,0,7973,0,0,7931,0,0,8020,0,0,7823,0,0,8162,0,0,7822,0,189911,7896,24,0,7994,0,0,7648,0,0,7921,0,0,7966,0,0,7938,0,0,8013,0,0,8152,0
200046,0,7940,0,0,8219,0,1752053,7846,223,0,8186,0,0,7908,0,0,7836,0,0,7973,0,0,7932,0,0,8020,0,0,7823,0,0,8162,0,1784902,7963,224,0,7882,0,1820002,8122,224,1755989,7790,225,0,7924,0,0,7966,0,0,7938,0,0,8013,0,0,8151,0
200048,0,7937,0,0,8220,0,0,7701,0,0,8186,0,0,7907,0,0,7836,0,0,7973,0,0,7931,0,0,8020,0,0,7823,0,0,8161,0,851523,7881,108,0,7882,0,0,7980,0,0,7649,0,0,7924,0,865350,8028,107,0,7938,0,0,8014,0,0,8152,0
200050,0,7937,0,0,8219,0,0,7701,0,0,8185,0,0,7904,0,0,7836,0,1802084,8081,223,0,7929,0,1826054,8157,223,0,7821,0,0,8160,0,0,7811,0,0,7882,0,1816197,8121,223,0,7648,0,0,7923,0,0,7951,0,0,7941,0,1821702,8143,223,0,8151,0
200052,0,7934,0,0,8220,0,0,7699,0,0,8183,0,0,7904,0,0,7837,0,190486,7949,23,190500,7947,23,0,8023,0,187690,7841,23,0,8156,0,0,7808,0,189711,7895,24,0,7979,0,0,7647,0,190371,7939,23,0,7953,0,191135,7959,24,0,7998,0,0,8151,0
200054,0,7934,0,0,8219,0,0,7699,0,0,8184,0,190209,7917,24,0,7836,0,0,7932,0,0,7936,0,0,8023,0,0,7824,0,0,8156,0,0,7806,0,0,7879,0,0,7981,0,182972,7658,23,189833,7940,23,0,7951,0,0,7948,0,0,7998,0,0,8151,0
200056,0,7933,0,197426,8236,23,0,7701,0,0,8183,0,0,7894,0,0,7836,0,0,7933,0,190746,7949,23,193381,8038,24,0,7824,0,196383,8172,24,0,7806,0,0,7877,0,0,7983,0,0,7635,0,190273,7936,23,191463,7976,24,0,7947,0,0,7999,0,0,8152,0
200058,0,7934,0,0,8224,0,0,7703,0,0,8184,0,0,7894,0,0,7832,0,0,7933,0,0,7928,0,0,8019,0,853010,7903,107,0,8159,0,0,7806,0,0,7878,0,0,7985,0,829864,7696,107,863126,7989,108,0,7963,0,867198,8004,108,869110,8063,107,0,8153,0
200060,0,7935,0,0,8223,0,0,7703,0,0,8185,0,478054,7934,60,0,7833,0,0,7932,0,0,7929,0,481916,8053,59,472319,7871,60,0,8157,0,0,7807,0,0,7878,0,0,7983,0,0,7631,0,0,7932,0,0,7960,0,0,7944,0,0,8001,0,0,8154,0
200062,0,7935,0,0,8220,0,0,7703,0,0,8186,0,0,7897,0,0,7833,0,0,7931,0,0,7932,0,0,8015,0,0,7831,0,492490,8191,60,0,7808,0,0,7877,0,0,7984,0,0,7631,0,0,7933,0,0,7960,0,0,7944,0,487219,8048,60,0,8156,0
