Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566,Driving_Time2234567,Driving_Time2234568,Driving_Time2234569,Driving_Time2234560,Driving_Time2234561,Driving_Time2234562,Driving_Time2234563,Driving_Time2234564,Driving_Time2234565,Driving_Time2234566,Driving_Time3234567,Driving_Time3234568,Driving_Time3234569,Driving_Time3234560,Driving_Time3234561,Driving_Time3234562,Driving_Time3234563,Driving_Time3234564,Driving_Time3234565,Driving_Time3234566,Driving_Time4234567,Driving_Time4234568,Driving_Time4234569,Driving_Time4234560,Driving_Time4234561,Driving_Time4234562,Driving_Time4234563,Driving_Time4234564,Driving_Time4234565,Driving_Time4234566,Driving_Time5234567,Driving_Time5234568,Driving_Time5234569,Driving_Time5234560,Driving_Time5234561,Driving_Time5234562,Driving_Time5234563,Driving_Time5234564,Driving_Time5234565,Driving_Time5234566
7,46,7,24,13,7,13,58,13,13,28,13,15,15,46,13,13,15,60,60,13,7,7,7,15,7,7,24,13,13,67,55,7,7,13,60,13,15,15,15,7,15,15,7,40,13,7,13,15,13
7,58,7,48,60,13,7,55,13,51,32,7,15,26,60,15,13,30,31,13,58,39,7,13,15,7,7,15,13,15,85,58,13,15,60,60,7,7,13,60,46,15,15,7,67,67,15,13,7,13
7,81,7,102,58,7,13,60,60,43,13,7,60,67,42,15,7,15,82,44,58,7,13,13,15,60,7,15,58,7,122,58,7,7,60,60,15,58,7,15,7,7,67,13,13,77,13,60,13,13
67,110,7,129,58,13,7,51,60,58,15,13,88,67,58,67,60,15,117,51,34,58,13,48,15,47,13,36,60,13,89,37,7,15,58,108,15,67,7,83,45,60,15,15,85,60,7,60,13,15
7,95,13,97,60,35,7,109,60,58,58,15,92,62,34,60,13,7,133,60,42,7,15,52,7,60,13,15,67,13,67,56,58,13,67,98,7,15,60,15,42,15,60,7,67,76,7,60,67,7
78,72,13,150,60,15,58,107,13,58,13,7,103,15,43,58,58,15,13,60,35,58,15,13,95,48,15,60,13,13,114,58,63,15,13,58,67,67,7,67,7,13,60,75,55,67,15,60,60,7
115,52,7,91,67,13,60,60,68,67,7,7,103,67,60,15,67,32,60,88,49,60,15,39,51,59,58,60,13,15,112,58,42,67,60,37,7,13,7,60,7,15,15,13,13,67,15,98,13,60
137,58,13,26,58,13,67,56,108,68,15,15,118,33,60,60,15,30,87,63,7,43,60,60,7,49,67,60,60,7,158,58,58,7,13,117,58,96,60,60,7,15,60,67,67,82,60,13,15,67
71,51,60,58,67,15,13,57,94,58,67,7,79,15,58,58,58,58,148,84,86,55,7,13,60,24,13,106,60,60,128,35,74,60,58,112,60,86,15,52,52,60,60,58,44,94,15,13,13,7
122,58,15,161,67,7,67,104,60,44,34,7,60,36,35,13,13,29,144,36,58,91,58,60,122,54,60,67,13,58,187,58,7,60,67,115,58,7,15,67,7,60,126,7,95,60,60,98,60,58
7,71,7,178,67,35,13,105,161,58,60,15,67,15,86,67,15,15,60,52,7,60,13,44,60,89,58,60,67,7,82,109,60,7,58,101,7,13,60,15,48,13,104,7,60,13,15,133,7,15
60,53,58,58,58,60,7,41,127,60,15,7,123,135,52,58,13,67,60,13,58,7,60,60,120,100,15,36,58,49,103,58,13,67,95,140,58,15,58,60,7,60,67,15,91,84,13,13,67,7
60,126,7,58,151,7,60,97,13,76,67,7,15,114,60,7,60,58,60,39,112,51,13,7,60,60,7,31,58,58,144,28,7,13,60,130,58,128,119,131,60,60,60,67,67,67,13,146,7,60
60,51,7,139,151,7,60,103,180,58,7,7,121,60,58,13,60,7,139,55,67,58,67,13,60,108,60,15,130,93,117,38,58,67,58,60,67,15,130,124,60,7,15,60,118,75,67,106,15,13
96,97,7,99,152,7,7,60,85,58,33,126,81,67,108,58,13,29,80,66,88,60,113,128,120,43,58,15,13,42,134,25,75,13,13,80,58,67,15,15,43,7,158,7,71,67,13,172,58,15
60,153,7,33,67,13,13,45,13,60,89,137,122,15,68,13,60,13,148,38,58,95,13,13,123,60,58,70,67,7,137,138,58,7,60,68,13,67,13,67,120,15,15,13,85,60,60,60,58,13
81,169,7,162,60,60,60,39,150,76,100,7,98,182,58,58,60,58,60,52,67,104,60,104,7,60,95,60,67,7,93,58,100,13,60,104,15,60,7,116,48,7,97,67,67,148,15,100,67,60
126,189,7,55,169,58,67,101,212,38,58,60,89,31,104,13,58,34,13,161,7,7,60,95,158,103,15,153,58,13,164,89,67,58,67,140,60,15,58,121,46,60,87,108,129,81,7,13,15,58
67,58,58,202,164,58,13,117,126,13,67,60,57,184,34,60,58,36,163,46,89,58,67,60,60,91,13,58,13,7,196,50,67,15,13,117,15,13,58,141,43,13,69,126,67,151,13,87,58,13
7,232,15,102,162,67,58,60,13,117,7,7,146,24,58,67,193,36,154,60,13,115,15,146,160,82,7,136,154,7,46,41,67,13,58,60,67,67,15,15,7,60,172,15,58,111,60,13,15,13
67,204,13,113,67,60,129,99,175,88,67,159,160,67,48,60,15,58,155,60,46,58,15,143,71,130,15,67,60,13,186,157,7,13,58,58,7,67,7,127,60,139,191,67,119,58,15,13,58,13
135,177,67,180,67,62,60,114,60,64,60,166,60,193,40,13,67,60,100,13,7,133,15,65,15,47,15,60,173,67,161,27,13,58,58,60,7,13,7,67,60,171,143,15,58,13,58,149,13,60
67,127,7,58,140,59,127,55,151,71,60,7,60,102,60,188,67,67,186,125,96,58,108,7,110,133,13,15,13,60,218,182,111,15,13,134,7,13,58,169,149,7,119,7,114,164,7,100,60,147
218,183,58,204,58,67,7,97,178,67,58,164,67,201,88,60,67,15,152,46,167,106,151,60,139,50,84,29,58,7,198,58,105,60,60,151,13,15,7,67,109,60,56,132,67,124,67,138,67,67
113,94,60,29,141,58,13,113,146,148,58,157,120,171,34,67,230,58,13,193,7,107,85,129,114,50,67,60,13,165,135,200,54,13,117,258,60,147,136,158,136,105,163,13,91,88,7,92,13,7
7,207,13,215,205,7,60,153,230,95,7,7,117,155,58,209,15,15,46,46,67,130,114,124,69,106,60,60,67,7,108,208,13,60,174,138,67,58,13,150,121,98,79,131,13,67,13,251,60,140
130,106,60,56,146,15,71,164,106,116,13,13,118,73,88,15,58,60,60,150,83,100,60,38,15,7,67,15,67,39,122,159,186,15,60,60,174,67,7,60,7,13,139,13,103,67,54,136,15,13
72,41,15,30,153,15,148,100,13,67,121,180,158,180,58,7,7,60,62,95,173,105,7,145,7,154,13,67,60,58,217,147,58,58,58,265,181,15,7,60,155,173,222,67,13,148,58,129,162,7
