Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
34,40,7,13,62,13,13,59,13,36
7,77,7,24,72,13,13,13,7,58
35,71,13,22,13,50,13,13,7,13
7,68,7,24,38,26,7,40,7,58
38,80,7,19,59,13,34,94,86,58
64,86,13,72,73,13,7,105,13,54
33,78,13,109,59,56,31,112,101,60
67,23,7,23,55,121,7,40,101,60
94,87,15,13,13,133,7,123,119,128
78,51,7,77,124,88,69,134,132,134
67,77,13,114,54,115,72,86,135,85
73,78,13,132,109,101,7,105,123,126
78,56,90,13,109,94,83,94,118,60
7,94,15,61,13,34,87,13,142,58
7,69,75,83,150,148,7,149,153,13
67,13,91,13,131,13,88,144,168,13
78,79,7,104,130,173,93,146,146,145
62,131,7,125,62,64,40,162,159,60
45,138,78,81,13,103,125,13,152,169
62,13,84,102,100,83,77,169,13,67
38,135,76,114,13,166,146,52,104,176
51,135,7,75,13,87,60,107,180,176
67,13,13,83,155,13,132,63,141,148
138,71,13,152,13,84,141,105,107,189
67,152,15,13,129,48,31,128,201,62
78,96,82,13,59,160,172,113,142,113
144,149,7,79,13,120,54,137,139,217
114,30,121,100,131,89,59,13,139,58
101,71,131,116,71,81,7,139,152,67
41,78,123,13,133,152,33,111,158,60
7,146,82,129,13,123,75,103,99,228
48,72,70,81,130,191,7,49,144,199
69,78,15,174,46,62,87,170,201,60
67,100,122,21,173,134,90,113,134,223
90,154,13,97,128,160,162,135,109,13
7,97,13,72,150,147,139,168,160,188
67,68,84,135,91,200,84,215,125,253
202,175,160,126,117,171,27,113,124,104
7,97,96,26,166,13,74,174,146,67
110,160,123,209,13,118,156,55,190,174
90,76,7,148,221,174,151,127,125,60
136,56,7,26,176,163,31,112,136,211
82,97,7,13,103,13,78,218,136,181
143,13,155,82,246,131,199,214,157,58
67,81,15,123,126,162,145,164,153,195
7,91,79,242,213,178,176,110,130,144
78,143,7,120,208,13,203,102,130,154
124,209,123,211,13,231,73,59,110,60
79,172,75,148,163,177,58,150,157,156
239,213,177,111,53,117,77,100,7,265
