Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
34,40,7,13,62,13,13,59,13,36
7,77,7,24,72,13,13,13,7,58
35,71,13,22,13,50,13,13,7,13
7,68,7,24,38,26,7,40,7,58
38,80,7,19,59,13,34,94,86,58
64,86,13,72,73,13,7,105,13,54
33,78,13,109,59,56,31,112,101,60
67,23,7,23,55,121,7,40,101,60
94,87,15,13,13,133,7,123,119,128
78,51,7,77,124,88,69,13,132,134
67,77,13,114,54,115,72,134,135,85
73,78,13,132,109,101,7,86,123,126
78,56,90,13,109,94,83,105,118,60
7,94,15,61,13,34,87,94,142,58
7,69,75,83,150,148,7,13,153,13
67,13,91,13,131,13,88,13,168,13
78,79,7,104,130,173,93,149,146,145
62,131,7,125,62,64,40,144,159,60
45,138,78,81,13,103,125,162,152,169
62,13,84,102,100,83,77,149,13,67
38,135,76,114,13,166,146,168,104,176
51,135,7,75,13,87,59,13,180,176
67,13,13,148,155,13,132,110,141,148
138,71,13,83,13,84,141,39,107,189
67,152,15,79,129,48,31,112,201,62
78,96,82,100,59,160,172,134,142,113
144,149,7,116,13,120,54,97,139,217
114,30,121,129,131,89,59,113,139,58
101,71,131,20,71,81,7,13,152,67
41,78,123,109,133,152,33,114,158,60
7,146,82,81,13,123,75,135,99,228
48,72,70,97,130,191,7,160,144,199
69,78,15,72,46,62,87,141,201,60
67,100,122,181,173,134,90,157,134,223
90,154,13,205,128,160,162,184,109,188
7,97,13,135,150,147,139,211,160,253
67,68,152,24,91,200,84,116,125,104
202,175,88,153,117,171,27,102,124,67
7,97,84,194,166,118,74,223,146,175
110,160,124,176,13,174,156,99,190,60
90,76,7,13,221,163,151,185,125,211
136,56,7,79,176,13,31,132,136,181
82,97,7,89,103,131,78,13,136,188
143,13,15,241,246,162,199,164,157,58
67,81,156,129,126,182,145,104,153,34
7,91,70,105,213,112,176,191,130,150
78,143,7,19,208,178,203,191,130,60
124,209,123,20,13,149,73,221,110,265
79,172,86,238,163,231,58,242,157,262
239,213,214,93,53,180,77,154,7,179
